sample_id,subject_id,treatment_group,days_post_metamorphosis,days_post_feeding
UHM102-10855,UHM102,STP1710.7 pilot,8,0
UHM102-22450,UHM102,STP1710.7 pilot,18,10
UHM102-22452,UHM102,STP1710.7 pilot,41,33
UHM102-22454,UHM102,STP1710.7 pilot,70,62
UHM125-22428,UHM125,STP1717.1 pilot,5,-1
UHM125-22430,UHM125,STP1717.1 pilot,30,24
UHM125-22432,UHM125,STP1717.1 pilot,56,50
UHM145-22422,UHM145,STP1717.1 pilot,7,-1
UHM145-22424,UHM145,STP1717.1 pilot,32,24
UHM145-22426,UHM145,STP1717.1 pilot,58,50
UHM17-10841,UHM17,STP1710.7 pilot,9,1
UHM17-22401,UHM17,STP1710.7 pilot,40,32
UHM17-22403,UHM17,STP1710.7 pilot,71,63
UHM18-10842,UHM18,STP1717.1 pilot,8,1
UHM18-22438,UHM18,STP1717.1 pilot,35,28
UHM18-22440,UHM18,STP1717.1 pilot,67,60
UHM20-10843,UHM20,STP1710.7 pilot,7,1
UHM20-22442,UHM20,STP1710.7 pilot,38,32
UHM20-22444,UHM20,STP1710.7 pilot,66,60
UHM22-22456,UHM22,control,7,2
UHM22-22458,UHM22,control,36,31
UHM22-22460,UHM22,control,66,61
UHM27-10844,UHM27,control,10,1
UHM31-10845,UHM31,STP1717.1 pilot,10,2
UHM31-22462,UHM31,STP1717.1 pilot,34,26
UHM31-22464,UHM31,STP1717.1 pilot,64,56
UHM33-10846,UHM33,STP1717.1 pilot,9,2
UHM36-10847,UHM36,control,8,1
UHM36-22406,UHM36,control,33,26
UHM36-22408,UHM36,control,68,61
UHM38-10848,UHM38,control,8,1
UHM38-22418,UHM38,control,29,22
UHM38-22420,UHM38,control,58,51
UHM40-10849,UHM40,STP1717.1 pilot,7,2
UHM40-22410,UHM40,STP1717.1 pilot,32,27
UHM40-22412,UHM40,STP1717.1 pilot,64,59
UHM41-10850,UHM41,STP1710.7 pilot,7,2
UHM41-22466,UHM41,STP1710.7 pilot,32,27
UHM41-22468,UHM41,STP1710.7 pilot,62,57
UHM43-10851,UHM43,control,7,2
UHM44-10852,UHM44,STP1717.1 pilot,8,3
UHM45-10853,UHM45,STP1710.7 pilot,7,2
UHM45-22434,UHM45,STP1710.7 pilot,32,27
UHM45-22436,UHM45,STP1710.7 pilot,60,55
UHM56-10854,UHM56,control,8,4
UHM56-22414,UHM56,control,29,25
UHM56-22416,UHM56,control,60,56
UHM72-22446,UHM72,control,7,2
UHM72-22448,UHM72,control,34,29
UHM72-22470,UHM72,control,63,58
