filename,PCo1,PCo2,PCo3,PCo4,PCo5,sample_id,sample_type,treatment_group,subject_id
BE1.mzML,-0.08290188112533804,0.010725149102139212,-0.16748959188349669,0.20853848055754784,-0.1227237300814532,BE1,QC_blank_extract,(QC blank),
BE2.mzML,-0.00593388746851037,-0.08108252037738253,-0.09486241037823663,0.13334525664889324,0.0841159812611028,BE2,QC_blank_extract,(QC blank),
BE3.mzML,-0.03740320174457029,-0.02258944502318558,-0.16432472875777784,0.17573804258510076,-0.12928740843861308,BE3,QC_blank_extract,(QC blank),
Blank_MeOH.mzML,0.510467728604347,0.5687948298645892,-0.1742476632677981,0.03686699352779515,0.11733295546967047,Blank_MeOH,QC_blank_solvent,(QC blank),
Blank-withIS_1.mzML,0.5509049540092349,-0.1272564429325728,-0.04058302706090702,0.012173958165514,-0.08863365340772536,Blank-withIS_1,QC_blank_with_internal_standard,(QC blank),
Blank-withIS_2.mzML,0.5898698303594591,-0.1368955005737784,-0.0244102767666027,-0.03830824424375007,-0.045328193297932924,Blank-withIS_2,QC_blank_with_internal_standard,(QC blank),
Blank-withIS_3.mzML,0.5803897891795962,-0.14378395987731676,0.0061934265980485344,-0.014520987219746755,-0.03539968670331816,Blank-withIS_3,QC_blank_with_internal_standard,(QC blank),
UHM102-10855.mzML,-0.051054476123295035,-0.0019232332819482938,0.020169898272627874,0.18588670702869525,-0.1052153411079688,UHM102-10855,sample,STP1710.7 pilot,UHM102
UHM102-22450.mzML,-0.0585664642218197,-0.030364529636921673,-0.0320033165226693,0.03508102300885284,0.025466993764662105,UHM102-22450,sample,STP1710.7 pilot,UHM102
UHM102-22452.mzML,-0.096507117114582,0.0047809142431656584,-0.051784099421134745,-0.015241098744781125,-0.058888970342168896,UHM102-22452,sample,STP1710.7 pilot,UHM102
UHM102-22454.mzML,-0.10002437549268907,0.02225159226206387,-0.017452694305738297,-0.058111527851224934,-0.006782434179178484,UHM102-22454,sample,STP1710.7 pilot,UHM102
