filename,PCo1,PCo2,PCo3,PCo4,PCo5,sample_id,subject_id,treatment_group,days_post_feeding,days_post_metamorphosis
UHM102-10855.mzML,-0.0027385708949253657,0.17199930521935636,-0.08804401321086724,0.12847823000553907,-0.07634259271106503,UHM102-10855,UHM102,STP1710.7 pilot,0.0,8.0
UHM102-22450.mzML,0.046308722672208924,0.011464080304761277,-0.06473523230944851,-0.0214698540043584,-0.03594986163065342,UHM102-22450,UHM102,STP1710.7 pilot,10.0,18.0
UHM102-22452.mzML,0.08240154356410695,0.012517158446501371,0.03166910729380669,0.04591256929048704,-0.06547674879061838,UHM102-22452,UHM102,STP1710.7 pilot,33.0,41.0
UHM102-22454.mzML,0.08318824627256281,0.014615650173145782,0.05331838169151897,-0.04083954758061355,-0.02318392179861506,UHM102-22454,UHM102,STP1710.7 pilot,62.0,70.0
UHM125-22428.mzML,0.023809706760380096,0.016701018209234315,-0.007842165879679803,-0.028754116814669342,-0.006378390985976857,UHM125-22428,UHM125,STP1717.1 pilot,-1.0,5.0
UHM125-22430.mzML,0.0797006845113728,-0.027262902534239724,-0.008338527997673718,-0.043274824803313454,0.014161873054701473,UHM125-22430,UHM125,STP1717.1 pilot,24.0,30.0
UHM125-22432.mzML,0.1334529568551036,0.004228700679746615,0.10687529817963161,-0.03413430992248732,0.032694732884440386,UHM125-22432,UHM125,STP1717.1 pilot,50.0,56.0
UHM145-22422.mzML,0.049640354484601794,-0.05819121130924876,-0.04757586056298773,-0.06129658136697074,-0.005413762146714593,UHM145-22422,UHM145,STP1717.1 pilot,-1.0,7.0
UHM145-22424.mzML,0.1419906413500542,-0.011688493316564246,0.16871818509906786,-0.09768233465682882,-0.007991907209400805,UHM145-22424,UHM145,STP1717.1 pilot,24.0,32.0
UHM145-22426.mzML,0.06763569527756128,0.00014290604276735603,0.09332326264023787,0.1486540760515225,0.00401990486350309,UHM145-22426,UHM145,STP1717.1 pilot,50.0,58.0
UHM17-10841.mzML,-0.09408826276733681,0.0745317188255116,-0.005458460007711211,0.021997615377153064,0.25268797809358595,UHM17-10841,UHM17,STP1710.7 pilot,1.0,9.0
