feature_id,mz,rt,source_file,source_scan
1,397.4242,22.007,UHM56-22416.mzML,11928.0
2,425.4543,23.38,UHM43-10851.mzML,12606.0
3,376.2661,9.915,UHM36-10847.mzML,5027.0
4,325.364,13.667,UHM56-22416.mzML,7351.0
5,453.4849,25.338,UHM43-10851.mzML,13698.0
6,369.3894,20.547,UHM56-22416.mzML,11144.0
7,481.5147,27.353,UHM43-10851.mzML,14786.0
8,341.3568,18.911,UHM31-10845.mzML,9906.0
9,793.8304,22.006323,UHM56-22416.mzML,11933.0
10,353.3942,15.128,UHM56-22416.mzML,8135.0
11,849.8926,23.38,UHM145-22424.mzML,12689.0
12,338.3448,20.313,UHM20-22444.mzML,10621.0
14,610.1883,26.533,UHM17-10841.mzML,14206.0
15,838.5393,15.274,UHM20-10843.mzML,8002.0
17,905.9533,25.338121,UHM43-10851.mzML,13703.0
19,453.481,25.717,UHM56-22416.mzML,13945.0
20,274.2761,8.928032,UHM102-22454.mzML,4665.0
24,637.3085,17.86,UHM125-22428.mzML,9327.0
25,684.2053,27.850885,UHM17-10841.mzML,14927.0
26,536.1675,24.636,UHM17-10841.mzML,13151.0
28,663.457,26.827,UHM56-22416.mzML,14586.0
29,381.4223,16.557013,UHM56-22416.mzML,8935.0
30,737.7638,20.547,UHM56-22416.mzML,11163.0
31,282.2804,16.457633,UHM72-22446.mzML,8691.0
32,962.0146,27.353,UHM45-10853.mzML,14780.0
33,479.4958,25.570683,UHM43-10851.mzML,13813.0
34,912.6422,22.65,UHM125-22428.mzML,11937.0
36,849.8893,23.614,UHM43-10851.mzML,12706.0
37,878.5298,15.274,UHM45-10853.mzML,8153.0
39,854.5187,14.292193,UHM44-10852.mzML,7311.0
41,856.5476,15.274,UHM20-10843.mzML,8006.0
43,341.3547,19.232,UHM56-22416.mzML,10408.0
44,509.542,24.825493,UHM41-10850.mzML,13217.0
45,681.6993,18.911,UHM31-10845.mzML,9893.0
47,415.2132,10.629888,BE3.mzML,5467.0
48,297.3271,12.1685,UHM145-22424.mzML,6554.0
52,269.2956,10.601,UHM145-22424.mzML,5706.0
54,385.3474,23.176,UHM125-22432.mzML,12419.0
57,479.4948,25.834,UHM43-10851.mzML,13970.0
58,481.5103,27.709904,UHM125-22432.mzML,14921.0
59,869.3751,22.6205,UHM36-10847.mzML,11972.0
60,832.5347,14.29459,UHM102-10855.mzML,7494.0
61,878.5253,16.136295,BE3.mzML,8462.0
64,304.301,11.624,UHM20-10843.mzML,5994.0
65,537.5366,26.594,UHM20-10843.mzML,14245.0
66,760.5867,22.6345,UHM72-22470.mzML,12363.0
71,931.9656,25.542078,UHM45-10853.mzML,13786.0
72,885.3698,20.634,UHM36-10847.mzML,10888.0
73,734.5735,19.8895,BE3.mzML,10880.0
