feature_id,mz,rt,source_file,source_scan
3345,1392.8453,17.858,BE1.mzML,9431.0
3520,1418.8621,17.858,,
4506,1419.8656,17.858,,
7757,538.3623,14.394002,UHM125-22432.mzML,7627.0
8746,1097.5205,6.859,,
8945,129.0909,6.859,,
9217,272.246,18.21,,
10687,933.6043,11.828,,
11036,379.3683,14.000174,,
11360,1240.7576,12.178,UHM145-22426.mzML,6403.0
11408,744.1935,27.412514,,
11499,608.2922,7.91,,
11643,1119.7695,15.011,,
11892,544.4117,17.217102,,
12106,452.3131,13.537,,
12343,678.5502,19.181172,,
12362,771.2756,6.975,,
