filename,filename_ms1,sample_id,subject_id,replicate_or_accession,sample_type,species,tissue,collection_date,treatment_group,notes,host_genus,host_species,host_sex,animal_type,collection_event,treatment,egg_mass,tank,geo_loc_name,state,gps_lat,gps_lon,collector,metamorphosis_date,basidiobolus_feeding_date,parent_biosample_collection_date,chem_sample_type,n_pooled_biosamples,animal_notes_lab
BE1.mzML,BE1_MS1.mzML,BE1,,,QC_blank_extract,,,,,,,,,,,,,,,,,,,,,,,,
BE2.mzML,BE2_MS1.mzML,BE2,,,QC_blank_extract,,,,,,,,,,,,,,,,,,,,,,,,
BE3.mzML,BE3_MS1.mzML,BE3,,,QC_blank_extract,,,,,,,,,,,,,,,,,,,,,,,,
Blank_MeOH.mzML,Blank_MeOH_MS1.mzML,Blank_MeOH,,,QC_blank_solvent,,,,,,,,,,,,,,,,,,,,,,,,
Blank-withIS_1.mzML,Blank-withIS_1_MS1.mzML,Blank-withIS_1,,,QC_blank_with_internal_standard,,,,,,,,,,,,,,,,,,,,,,,,
Blank-withIS_2.mzML,Blank-withIS_2_MS1.mzML,Blank-withIS_2,,,QC_blank_with_internal_standard,,,,,,,,,,,,,,,,,,,,,,,,
Blank-withIS_3.mzML,Blank-withIS_3_MS1.mzML,Blank-withIS_3,,,QC_blank_with_internal_standard,,,,,,,,,,,,,,,,,,,,,,,,
UHM102-10855.mzML,UHM102-10855_MS1.mzML,UHM102-10855,UHM102,10855,sample,Lithobates sylvaticus,fecal,2022-04-01,STP1710.7 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1710.7 pilot,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-24,2022-04-01,2022-04-01,,4,Preconditioned on FFs - Do not expect Basidiobolus
UHM102-22450.mzML,UHM102-22450_MS1.mzML,UHM102-22450,UHM102,22450,sample,Lithobates sylvaticus,fecal,2022-04-11,STP1710.7 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1710.7 pilot,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-24,2022-04-01,2022-04-11,,9,
UHM102-22452.mzML,UHM102-22452_MS1.mzML,UHM102-22452,UHM102,22452,sample,Lithobates sylvaticus,fecal,2022-05-04,STP1710.7 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1710.7 pilot,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-24,2022-04-01,2022-05-04,,10,
UHM102-22454.mzML,UHM102-22454_MS1.mzML,UHM102-22454,UHM102,22454,sample,Lithobates sylvaticus,fecal,2022-06-02,STP1710.7 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1710.7 pilot,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-24,2022-04-01,2022-06-02,,11,
UHM125-22428.mzML,UHM125-22428_MS1.mzML,UHM125-22428,UHM125,22428,sample,Lithobates sylvaticus,fecal,2022-04-04,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,1,4,Bridgestone Firestone WMA,TN,,,Romer,2022-03-30,2022-04-05,2022-04-04,,15,Preconditioned on FFs - Do not expect Basidiobolus
UHM125-22430.mzML,UHM125-22430_MS1.mzML,UHM125-22430,UHM125,22430,sample,Lithobates sylvaticus,fecal,2022-04-29,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,1,4,Bridgestone Firestone WMA,TN,,,Romer,2022-03-30,2022-04-05,2022-04-29,,12,
UHM125-22432.mzML,UHM125-22432_MS1.mzML,UHM125-22432,UHM125,22432,sample,Lithobates sylvaticus,fecal,2022-05-25,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,1,4,Bridgestone Firestone WMA,TN,,,Romer,2022-03-30,2022-04-05,2022-05-25,,17,
UHM145-22422.mzML,UHM145-22422_MS1.mzML,UHM145-22422,UHM145,22422,sample,Lithobates sylvaticus,fecal,2022-04-11,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,2,2,Bridgestone Firestone WMA,TN,,,Romer,2022-04-04,2022-04-12,2022-04-11,,12,Preconditioned on FFs - Do not expect Basidiobolus
UHM145-22424.mzML,UHM145-22424_MS1.mzML,UHM145-22424,UHM145,22424,sample,Lithobates sylvaticus,fecal,2022-05-06,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,2,2,Bridgestone Firestone WMA,TN,,,Romer,2022-04-04,2022-04-12,2022-05-06,,11,
UHM145-22426.mzML,UHM145-22426_MS1.mzML,UHM145-22426,UHM145,22426,sample,Lithobates sylvaticus,fecal,2022-06-01,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,2,2,Bridgestone Firestone WMA,TN,,,Romer,2022-04-04,2022-04-12,2022-06-01,,18,
UHM17-10841.mzML,UHM17-10841_MS1.mzML,UHM17-10841,UHM17,10841,sample,Lithobates sylvaticus,fecal,2022-03-11,STP1710.7 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1710.7 pilot,3,3,Bridgestone Firestone WMA,TN,,,Romer,2022-03-02,2022-03-10,2022-03-11,,13,
UHM17-22401.mzML,UHM17-22401_MS1.mzML,UHM17-22401,UHM17,22401,sample,Lithobates sylvaticus,fecal,2022-04-11,STP1710.7 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1710.7 pilot,3,3,Bridgestone Firestone WMA,TN,,,Romer,2022-03-02,2022-03-10,2022-04-11,,13,
