filename,filename_ms1,sample_id,subject_id,replicate_or_accession,sample_type,species,tissue,collection_date,treatment_group,notes
BE1.mzML,BE1_MS1.mzML,BE1,,,QC_blank_extract,,,,,
BE2.mzML,BE2_MS1.mzML,BE2,,,QC_blank_extract,,,,,
BE3.mzML,BE3_MS1.mzML,BE3,,,QC_blank_extract,,,,,
Blank_MeOH.mzML,Blank_MeOH_MS1.mzML,Blank_MeOH,,,QC_blank_solvent,,,,,
Blank-withIS_1.mzML,Blank-withIS_1_MS1.mzML,Blank-withIS_1,,,QC_blank_with_internal_standard,,,,,
Blank-withIS_2.mzML,Blank-withIS_2_MS1.mzML,Blank-withIS_2,,,QC_blank_with_internal_standard,,,,,
Blank-withIS_3.mzML,Blank-withIS_3_MS1.mzML,Blank-withIS_3,,,QC_blank_with_internal_standard,,,,,
UHM102-10855.mzML,UHM102-10855_MS1.mzML,UHM102-10855,UHM102,10855,sample,,,,,
UHM102-22450.mzML,UHM102-22450_MS1.mzML,UHM102-22450,UHM102,22450,sample,,,,,
UHM102-22452.mzML,UHM102-22452_MS1.mzML,UHM102-22452,UHM102,22452,sample,,,,,
UHM102-22454.mzML,UHM102-22454_MS1.mzML,UHM102-22454,UHM102,22454,sample,,,,,
UHM125-22428.mzML,UHM125-22428_MS1.mzML,UHM125-22428,UHM125,22428,sample,,,,,
UHM125-22430.mzML,UHM125-22430_MS1.mzML,UHM125-22430,UHM125,22430,sample,,,,,
UHM125-22432.mzML,UHM125-22432_MS1.mzML,UHM125-22432,UHM125,22432,sample,,,,,
UHM145-22422.mzML,UHM145-22422_MS1.mzML,UHM145-22422,UHM145,22422,sample,,,,,
UHM145-22424.mzML,UHM145-22424_MS1.mzML,UHM145-22424,UHM145,22424,sample,,,,,
UHM145-22426.mzML,UHM145-22426_MS1.mzML,UHM145-22426,UHM145,22426,sample,,,,,
UHM17-10841.mzML,UHM17-10841_MS1.mzML,UHM17-10841,UHM17,10841,sample,,,,,
UHM17-22401.mzML,UHM17-22401_MS1.mzML,UHM17-22401,UHM17,22401,sample,,,,,
UHM17-22403.mzML,UHM17-22403_MS1.mzML,UHM17-22403,UHM17,22403,sample,,,,,
UHM18-10842.mzML,UHM18-10842_MS1.mzML,UHM18-10842,UHM18,10842,sample,,,,,
UHM18-22438.mzML,UHM18-22438_MS1.mzML,UHM18-22438,UHM18,22438,sample,,,,,
UHM18-22440.mzML,UHM18-22440_MS1.mzML,UHM18-22440,UHM18,22440,sample,,,,,
UHM20-10843.mzML,UHM20-10843_MS1.mzML,UHM20-10843,UHM20,10843,sample,,,,,
UHM20-22442.mzML,UHM20-22442_MS1.mzML,UHM20-22442,UHM20,22442,sample,,,,,
UHM20-22444.mzML,UHM20-22444_MS1.mzML,UHM20-22444,UHM20,22444,sample,,,,,
UHM22-22456.mzML,UHM22-22456_MS1.mzML,UHM22-22456,UHM22,22456,sample,,,,,
UHM22-22458.mzML,UHM22-22458_MS1.mzML,UHM22-22458,UHM22,22458,sample,,,,,
UHM22-22460.mzML,UHM22-22460_MS1.mzML,UHM22-22460,UHM22,22460,sample,,,,,
UHM27-10844.mzML,UHM27-10844_MS1.mzML,UHM27-10844,UHM27,10844,sample,,,,,
UHM31-10845.mzML,UHM31-10845_MS1.mzML,UHM31-10845,UHM31,10845,sample,,,,,
UHM31-22462.mzML,UHM31-22462_MS1.mzML,UHM31-22462,UHM31,22462,sample,,,,,
UHM31-22464.mzML,UHM31-22464_MS1.mzML,UHM31-22464,UHM31,22464,sample,,,,,
UHM33-10846.mzML,UHM33-10846_MS1.mzML,UHM33-10846,UHM33,10846,sample,,,,,
UHM36-10847.mzML,UHM36-10847_MS1.mzML,UHM36-10847,UHM36,10847,sample,,,,,
UHM36-22406.mzML,UHM36-22406_MS1.mzML,UHM36-22406,UHM36,22406,sample,,,,,
UHM36-22408.mzML,UHM36-22408_MS1.mzML,UHM36-22408,UHM36,22408,sample,,,,,
UHM38-10848.mzML,UHM38-10848_MS1.mzML,UHM38-10848,UHM38,10848,sample,,,,,
UHM38-22418.mzML,UHM38-22418_MS1.mzML,UHM38-22418,UHM38,22418,sample,,,,,
UHM38-22420.mzML,UHM38-22420_MS1.mzML,UHM38-22420,UHM38,22420,sample,,,,,
UHM40-10849.mzML,UHM40-10849_MS1.mzML,UHM40-10849,UHM40,10849,sample,,,,,
UHM40-22410.mzML,UHM40-22410_MS1.mzML,UHM40-22410,UHM40,22410,sample,,,,,
UHM40-22412.mzML,UHM40-22412_MS1.mzML,UHM40-22412,UHM40,22412,sample,,,,,
UHM41-10850.mzML,UHM41-10850_MS1.mzML,UHM41-10850,UHM41,10850,sample,,,,,
UHM41-22466.mzML,UHM41-22466_MS1.mzML,UHM41-22466,UHM41,22466,sample,,,,,
UHM41-22468.mzML,UHM41-22468_MS1.mzML,UHM41-22468,UHM41,22468,sample,,,,,
UHM43-10851.mzML,UHM43-10851_MS1.mzML,UHM43-10851,UHM43,10851,sample,,,,,
UHM44-10852.mzML,UHM44-10852_MS1.mzML,UHM44-10852,UHM44,10852,sample,,,,,
UHM45-10853.mzML,UHM45-10853_MS1.mzML,UHM45-10853,UHM45,10853,sample,,,,,
UHM45-22434.mzML,UHM45-22434_MS1.mzML,UHM45-22434,UHM45,22434,sample,,,,,
UHM45-22436.mzML,UHM45-22436_MS1.mzML,UHM45-22436,UHM45,22436,sample,,,,,
UHM56-10854.mzML,UHM56-10854_MS1.mzML,UHM56-10854,UHM56,10854,sample,,,,,
