query_idx	query_scan	query_file	query_precursor_mz	library_idx	library_scan	library_filename	library_precursor_mz	cosine	matched_peaks	delta_mz	ADDUCT	ANALYZER	CHARGE	CHROMATOGRAPHY	COLLISION_ENERGY	DATACOLLECTOR	EXACTMASS	FILENAME	FORMULA	FRAGMENTATION_METHOD	INCHI	INCHIAUX	INSTRUMENT_MODEL	INSTRUMENT_VENDOR	IONIZATION	IONMODE	LIBRARYQUALITY	MS2_EXPLAINED_INTENSITY	MSLEVEL	NAME	ORGANISM	PEPMASS	PI	PUBMED	SCANS	SEQ	SMILES	SOURCE_INSTRUMENT	SPECTRUMID	SPLASH	SUBMITUSER	TITLE	USI
11	12	aligned_features_filled.mgf	338.3448	31597	10634	GNPS-NIST14-MATCHES.mgf	338.3411	0.8614	7	0.0037			1		35.0	Data deposited by eriche		e66db02b2e174ae791d20c0d6e68637d/EH_2014_05_17_OnnamideA_20-40_140519023844.mzXML		N/A	InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H2,23,24)/b10-9-	UAUDZVJPLUQNMU-KTKRTIGZSA-N				Positive	3		2	Spectral Match to 13-Docosenamide, (Z)- from NIST14 [M+H]+	GNPS-NIST14-MATCHES	338.341058	Data from Piel	N/A	10634	*..*	CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N	ESI-QQQ	CCMSLIB00003134511		mwang87	CCMSLIB00003134511	mzspec:GNPS:GNPS-NIST14-MATCHES:accession:CCMSLIB00003134511
16	20	aligned_features_filled.mgf	274.2762	129126	38544	MASSBANK.mgf	274.2740	0.9683	9	0.0022			1		N/A	Massbank		spectra_from_json.mgf		N/A	InChI=1S/C16H35NO2/c1-2-3-4-5-6-7-8-9-10-11-12-17(13-15-18)14-16-19/h18-19H,2-16H2,1H3	NKFNBVMJTSYZDV-UHFFFAOYSA-N				Positive	3		2	Massbank:LU030803 Lauryldiethanolamine|2-[dodecyl(2-hydroxyethyl)amino]ethanol [M+H]+	MASSBANK	274.274	Massbank	N/A	38544	*..*	CCCCCCCCCCCCN(CCO)CCO	ESI-Hybrid FT	CCMSLIB00005764095		mwang87	CCMSLIB00005764095	mzspec:GNPS:MASSBANK:accession:CCMSLIB00005764095
17	24	aligned_features_filled.mgf	637.3094	804898	12077	BERKELEY-LAB.mgf	637.3020	0.8443	19	0.0074			1		N/A	JGI		3dacd5cf9c8d4c3d8596c71bf3234fbd/BERKELEY-LAB.mgf		N/A	InChI=1S/C23H46N6O13/c24-2-7-13(32)15(34)10(28)21(37-7)40-18-6(27)1-5(26)12(31)20(18)42-23-17(36)19(9(4-30)39-23)41-22-11(29)16(35)14(33)8(3-25)38-22/h5-23,30-36H,1-4,24-29H2/t5-,6+,7-,8+,9-,10-,11-,12+,13-,14-,15-,16-,17-,18-,19-,20-,21-,22?,23+/m1/s1	PGBHMTALBVVCIT-HDNPHQKMSA-N				Positive	3		2	AC1L1X1Z CollisionEnergy:102040 [M+Na]+	BERKELEY-LAB	637.302	Trent Northen	N/A	12077	*..*	NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O	LC-ESI-Orbitrap	CCMSLIB00010114511		mwang87	CCMSLIB00010114511	mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010114511
23	31	aligned_features_filled.mgf	282.2804	35795	5494	GNPS-NIST14-MATCHES.mgf	282.2792	0.9369	9	0.0012			1		35.0	Data deposited by pmallard		657eb45679814d8895d947698dd26e24/150116_EF_PMA_PSN475_NC-128-8-f_ddMS2_pos.mzXML		N/A	InChI=1S/C18H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H2,19,20)/b10-9-	FATBGEAMYMYZAF-KTKRTIGZSA-N				Positive	3		2	Spectral Match to 9-Octadecenamide, (Z)- from NIST14 [M+H]+	GNPS-NIST14-MATCHES	282.279228	Data from Wolfender/Litaudon	N/A	5494	*..*	CCCCCCCC/C=C\CCCCCCCC(=O)N	ESI-QQQ	CCMSLIB00003138914		mwang87	CCMSLIB00003138914	mzspec:GNPS:GNPS-NIST14-MATCHES:accession:CCMSLIB00003138914
34	47	aligned_features_filled.mgf	415.2132	803523	10702	BERKELEY-LAB.mgf	415.2120	0.9326	6	0.0012			2		N/A	JGI		3dacd5cf9c8d4c3d8596c71bf3234fbd/BERKELEY-LAB.mgf		N/A	InChI=1S/C49H56N4O8/c1-25(2)38-34-19-27(5)40(46(56)42(34)36(44(54)48(38)58)23-50-52-16-8-11-30(52)21-32-12-9-17-60-32)41-28(6)20-35-39(26(3)4)49(59)45(55)37(43(35)47(41)57)24-51-53-29(7)14-15-31(53)22-33-13-10-18-61-33/h9-10,12-13,17-20,23-26,29-31,50-51,56-59H,8,11,14-16,21-22H2,1-7H3/b36-23-,37-24-	OZMHKRBQDGOIDU-IEXCSMOPSA-N				Positive	3		2	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 [M+2H]2+	BERKELEY-LAB	415.212	Trent Northen	N/A	10702	*..*	Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)C(=CNN1C(C)CCC1Cc1ccco1)C(=O)C(O)=C3C(C)C)C(=CNN1CCCC1Cc1ccco1)C(=O)C(O)=C2C(C)C	LC-ESI-Orbitrap	CCMSLIB00010113136		mwang87	CCMSLIB00010113136	mzspec:GNPS:BERKELEY-LAB:accession:CCMSLIB00010113136
37	54	aligned_features_filled.mgf	385.3474	754718	1	GNPS-EMBL-MCF.mgf	385.3504	0.9302	14	-0.0030			1		30.0	Prasad		103cdea6cc51413daeab954e2ce86fc2/Cholestenone2.mzXML		N/A	InChI=1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h17-19,22-25H,6-16H2,1-5H3/t19-,22+,23-,24+,25+,26+,27-/m1/s1	NYOXRYYXRWJDKP-GYKMGIIDSA-N				Positive	1		2	4-Cholesten-3-one [M+H]+	GNPS-EMBL-MCF	385.350364	Alexandrov Theodore	91477	1	*..*	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	DI-ESI-Orbitrap	CCMSLIB00000479571		pphapale	CCMSLIB00000479571	mzspec:GNPS:GNPS-EMBL-MCF:accession:CCMSLIB00000479571
43	64	aligned_features_filled.mgf	304.3010	32865	1610	GNPS-NIST14-MATCHES.mgf	304.3005	0.9580	9	0.0005			1		N/A	Data deposited by marjo		ba311de896ac43dc9cc36bb3fade6642/s103-v312.mgf		N/A	InChI=1S/C21H38N/c1-4-5-6-7-8-9-10-11-12-16-19-22(2,3)20-21-17-14-13-15-18-21/h13-15,17-18H,4-12,16,19-20H2,1-3H3/q+1	CYDRXTMLKJDRQH-UHFFFAOYSA-N				Positive	3		2	Spectral Match to Benzyldodecyldimethylammonium from NIST14 [M]+	GNPS-NIST14-MATCHES	304.3005	Data from Maria Maansson	N/A	1610	*..*	CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1	ESI-QQQ	CCMSLIB00003136025		mwang87	CCMSLIB00003136025	mzspec:GNPS:GNPS-NIST14-MATCHES:accession:CCMSLIB00003136025
45	66	aligned_features_filled.mgf	760.5862	35400	1858	GNPS-NIST14-MATCHES.mgf	760.5860	0.9841	9	0.0002			1		30.0	Data deposited by mjmeehan		55fc66d014f945d39bfa8290189f9de7/10-blood_pos_C18_QE.mzXML		N/A	InChI=1S/C42H82NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h20-21,40H,6-19,22-39H2,1-5H3/b21-20-/t40-/m1/s1	WTJKGGKOPKCXLL-VYOBOKEXSA-N				Positive	3		2	Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14 [M+H]+	GNPS-NIST14-MATCHES	760.585997	Data from Gabriel Haddad	N/A	1858	*..*	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC	ESI-qTof	CCMSLIB00003138390		mwang87	CCMSLIB00003138390	mzspec:GNPS:GNPS-NIST14-MATCHES:accession:CCMSLIB00003138390
55	86	aligned_features_filled.mgf	788.6181	31679	2380	GNPS-NIST14-MATCHES.mgf	788.6122	0.9640	7	0.0059			1		30.0	Data deposited by daniel		f86c70ab196842f5a7644656e26af83d/Plate1_C6.mzXML		N/A	N/A	N/A				Positive	3		2	Spectral Match to 1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine from NIST14 [M+H]+	GNPS-NIST14-MATCHES	788.61222	Data from James McKerrow	N/A	2380	*..*	N/A	ESI-Q-TOF	CCMSLIB00003134596		mwang87	CCMSLIB00003134596	mzspec:GNPS:GNPS-NIST14-MATCHES:accession:CCMSLIB00003134596
57	90	aligned_features_filled.mgf	358.3688	501064	24348	MSNLIB-POSITIVE.mgf	358.3680	0.7437	6	0.0008			1		N/A	Corinna Brungs		spectra_from_json.mgf		N/A	InChI=1S/C22H47NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(19-21-24)20-22-25/h24-25H,2-22H2,1H3	NDLNTMNRNCENRZ-UHFFFAOYSA-N				Positive	1		2	Stearyldiethanolamine [M+H]+	MSNLIB-POSITIVE	358.368	Tomas Pluskal	N/A	24348	*..*	CCCCCCCCCCCCCCCCCCN(CCO)CCO	ESI-Orbitrap	CCMSLIB00012316042		jzemlin	CCMSLIB00012316042	mzspec:GNPS:MSNLIB-POSITIVE:accession:CCMSLIB00012316042
