filename	file_size_MB	spectrum_count	relative_path
UHM40-10849_MS1.mzML	14.53	2407	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM40-10849_MS1.mzML
UHM36-22406_MS1.mzML	18.53	3439	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM36-22406_MS1.mzML
Blank-withIS_3_MS1.mzML	22.85	4956	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/Blank-withIS_3_MS1.mzML
UHM145-22422_MS1.mzML	14.66	2500	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM145-22422_MS1.mzML
UHM102-22450_MS1.mzML	11.95	1871	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM102-22450_MS1.mzML
UHM20-22442_MS1.mzML	15.05	2682	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM20-22442_MS1.mzML
UHM18-22440_MS1.mzML	12.92	1954	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM18-22440_MS1.mzML
BE2_MS1.mzML	19.20	3800	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/BE2_MS1.mzML
UHM72-22446_MS1.mzML	12.34	1672	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM72-22446_MS1.mzML
UHM17-22403_MS1.mzML	12.28	1562	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM17-22403_MS1.mzML
UHM18-22438_MS1.mzML	14.88	2484	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM18-22438_MS1.mzML
UHM56-22414_MS1.mzML	16.44	2935	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM56-22414_MS1.mzML
UHM38-22420_MS1.mzML	12.45	1703	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM38-22420_MS1.mzML
UHM40-22410_MS1.mzML	14.07	2205	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM40-22410_MS1.mzML
UHM38-10848_MS1.mzML	14.16	2384	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM38-10848_MS1.mzML
UHM36-22408_MS1.mzML	21.31	3956	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM36-22408_MS1.mzML
UHM72-22470_MS1.mzML	11.89	1658	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM72-22470_MS1.mzML
Blank-withIS_2_MS1.mzML	23.21	5073	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/Blank-withIS_2_MS1.mzML
UHM20-22444_MS1.mzML	15.11	2710	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM20-22444_MS1.mzML
UHM125-22430_MS1.mzML	13.18	2070	MSV000095549/updates/2024-08-21_georgefneuhaus_fc571881/raw/MS1_Only/UHM125-22430_MS1.mzML
