CLUSTERID1	CLUSTERID2	DeltaMZ	Cosine	ComponentIndex
1	2	-28.031	0.9438	1
1	6	28.035	0.9222	1
1	9	-396.406	0.9507	1
1	139	-15.969	0.9555	1
1	179	-44.001	0.9187	1
179	254	-28.030	0.9186	1
179	926	-56.061	0.8832	1
254	926	-28.031	0.8693	1
19	33	-26.015	0.9436	1
19	44	-56.061	0.9492	1
19	57	-26.014	0.938	1
19	58	-28.029	0.9628	1
19	78	-452.468	0.9539	1
19	254	-15.974	0.9431	1
78	2929	455.483	0.9148	1
58	457	14.016	0.9244	1
32	58	480.504	0.949	1
57	138	-28.031	0.9645	1
57	149	-28.031	0.959	1
57	201	-478.485	0.9407	1
57	349	28.032	0.9378	1
57	384	-478.485	0.9158	1
57	465	28.033	0.9302	1
465	703	28.031	0.8793	1
8	127	28.035	0.9612	1
8	568	-42.043	0.9278	1
8	703	-82.074	0.8832	1
428	465	-28.031	0.8888	1
428	703	0.000	0.8814	1
349	428	28.032	0.9076	1
349	465	0.001	0.9249	1
349	703	28.032	0.8968	1
201	384	0.000	0.9554	1
149	349	56.063	0.9216	1
149	465	56.064	0.913	1
149	703	84.095	0.8937	1
138	149	-0.000	0.9602	1
138	349	56.063	0.9294	1
138	465	56.064	0.9221	1
138	703	84.095	0.8995	1
44	58	28.032	0.9684	1
44	233	-508.532	0.9607	1
44	821	0.997	0.9772	1
821	7975	184.182	0.9061	1
7530	7975	-0.037	0.962	1
7499	7530	388.376	0.8914	1
4	10	-28.029	0.9843	1
4	29	-56.057	0.9796	1
4	48	28.038	0.9735	1
4	52	56.070	0.9526	1
4	81	-56.056	0.9702	1
4	141	-28.026	0.97	1
4	142	-84.088	0.9601	1
4	144	-84.088	0.9554	1
4	7530	1.039	0.9549	1
144	210	-57.082	0.953	1
210	255	29.052	0.9504	1
210	640	1.021	0.9509	1
640	697	-1.021	0.9113	1
640	1148	68.184	0.9062	1
96	210	56.062	0.9633	1
96	213	-136.689	0.9621	1
96	270	-183.857	0.9551	1
269	270	200.896	0.9579	1
269	305	-33.318	0.9542	1
